Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/,"3,522","3,007",0:01:00,"2,385",39.16%,38.19%,$0.00 
/pen-america-v-trump/,"3,046","2,802",0:03:39,"2,578",92.24%,87.43%,$0.00 
/oppose-protest-tax/,951,847,0:03:57,795,89.18%,84.96%,$0.00 
/jamal-khashoggi-pen-america-advocates/,684,653,0:00:49,246,31.71%,44.01%,$0.00 
/about-us/,618,539,0:02:36,127,65.35%,47.57%,$0.00 
/research-resources/faking-news/,582,573,0:00:11,187,25.67%,40.89%,$0.00 
/from-while-they-sleep-under-the-bed-is-another-country/,565,519,0:04:06,501,90.22%,87.08%,$0.00 
/event/pen-presents-on-fascism/,514,444,0:05:01,397,82.37%,79.96%,$0.00 
/staff/,495,350,0:01:04,80,36.25%,29.29%,$0.00 
/press-release/lawsuit-trump-first-amendment-violations/,430,391,0:04:54,347,87.32%,81.63%,$0.00 
/literary-awards/,418,319,0:00:44,133,38.35%,23.44%,$0.00 
/membership/,359,318,0:02:08,131,78.63%,57.66%,$0.00 
/writing-the-future-reading-list/,336,319,0:04:54,280,91.43%,85.42%,$0.00 
/coming-into-language/,334,283,0:07:05,281,85.05%,84.13%,$0.00 
/about-us/employment-opportunities/,313,251,0:00:45,96,45.83%,35.46%,$0.00 
/litfest-gala/,302,234,0:02:39,122,54.10%,40.07%,$0.00 
/publishers-of-works-in-translation/,295,93,0:01:51,91,68.13%,29.83%,$0.00 
/prison-writing/,283,223,0:01:39,139,58.27%,44.88%,$0.00 
/literary-award/penbellwether-prize-for-socially-engaged-fiction-25000/,277,256,0:02:01,247,50.20%,50.90%,$0.00 
/events-calendar/,266,211,0:00:43,29,41.38%,19.17%,$0.00 
/literary-awards/awards/,258,171,0:01:07,44,54.55%,28.29%,$0.00 
/on-john-steinbecks-of-mice-and-men/,248,223,0:03:48,222,90.09%,89.52%,$0.00 
/event/writing-wrongs-omission-new-york-times-overlooked/,246,230,0:05:11,220,94.55%,92.28%,$0.00 
/donate/,228,160,0:02:19,38,68.42%,44.30%,$0.00 
/litfest-gala/2018-litfest-gala-tickets/,228,214,0:02:16,114,82.46%,65.79%,$0.00 
/emerging-voices-fellowship/,214,182,0:02:20,129,73.64%,63.55%,$0.00 
/all-the-sad-songs/,208,191,0:03:18,165,88.48%,84.13%,$0.00 
/literary-awards/grants-fellowships/,199,151,0:00:43,22,45.45%,20.60%,$0.00 
/pen-ten-los-angeles-literary-award-winners/,187,162,0:02:41,111,83.78%,65.78%,$0.00 
/user/chip-rolley/,187,179,0:02:06,166,92.17%,88.77%,$0.00 
/where-the-wild-things-arent-on-the-banning-of-sendak/,170,144,0:04:06,142,85.21%,83.53%,$0.00 
/writing-justice/,167,141,0:02:15,96,65.62%,52.10%,$0.00 
/immunization-through-fear-banning-r-l-stines-goosebumps/,164,131,0:06:57,130,81.54%,78.66%,$0.00 
/animal-farm-banned-by-the-soviets-promoted-by-the-cia/,163,142,0:08:13,142,83.80%,84.05%,$0.00 
/world-voices-festival/,159,129,0:01:07,85,52.94%,40.88%,$0.00 
/2018longlists/,158,149,0:03:35,129,90.70%,82.28%,$0.00 
/translation-faqs/,148,127,0:06:34,115,84.35%,79.05%,$0.00 
/recipe-for-prison-pruno/,145,133,0:05:44,132,88.64%,87.59%,$0.00 
/current-members/translator-resources/,136,112,0:02:17,69,72.46%,52.94%,$0.00 
/on-mark-twains-huckleberry-finn/,136,115,0:04:44,114,83.33%,83.82%,$0.00 
/from-the-underground-railroad/,130,89,0:03:32,87,86.21%,67.69%,$0.00 
/advocacy-case/zehra-dogan/,126,116,0:04:39,116,90.52%,88.89%,$0.00 
/penbellwether-prize-for-socially-engaged-fiction-winners/,119,112,0:01:47,30,76.67%,76.47%,$0.00 
/things-fall-apart-chapters-one-and-two/,119,110,0:02:49,110,91.82%,90.76%,$0.00 
/pen-america-v-trump/?mc_cid=c1e1ff0cdf&mc_eid=901c701b37,111,108,0:01:30,108,96.30%,96.40%,$0.00 
/from-bluets/,110,100,0:07:02,100,88.00%,89.09%,$0.00 
/health-insurance-for-writers/,106,85,0:05:52,82,78.05%,75.47%,$0.00 
/user/earlonne-woods/,101,97,0:03:07,95,95.79%,96.04%,$0.00 
/current-members/,99,89,0:00:34,9,44.44%,16.16%,$0.00 
/?page_id=163369&preview=true,97,18,0:02:25,9,44.44%,11.34%,$0.00 
/focus-issues/,96,83,0:01:21,5,40.00%,20.83%,$0.00 
/pen-ten-jason-stanley-how-fascism-works/,96,94,0:03:32,61,88.52%,71.88%,$0.00 
/user/suzanne-nossel/,96,85,0:02:56,47,72.34%,50.00%,$0.00 
/publications/,95,70,0:01:10,7,28.57%,13.68%,$0.00 
/writers-at-risk/,95,68,0:00:56,7,28.57%,9.47%,$0.00 
/journals-seeking-work-in-translation/,94,89,0:04:08,81,90.12%,88.30%,$0.00 
/current-board-of-trustees/,93,82,0:00:56,12,75.00%,27.96%,$0.00 
/event/pen-out-loud-writing-future/,93,82,0:03:44,47,85.11%,61.29%,$0.00 
/literary-award/penrobert-j-dau-short-story-prize-for-emerging-writers-2000-to-12-writers/,88,83,0:01:20,66,89.39%,85.23%,$0.00 
/pen-across-america/,88,69,0:02:37,23,47.83%,31.82%,$0.00 
/2018-winners/,86,81,0:01:37,51,76.47%,58.14%,$0.00 
/writers-emergency-fund/,86,75,0:01:35,27,59.26%,32.56%,$0.00 
/prison-sexuality/,85,80,0:11:11,79,96.20%,94.12%,$0.00 
/take-action/,84,63,0:00:47,2,100.00%,15.48%,$0.00 
/membership/current-members/,81,50,0:00:15,2,0.00%,1.23%,$0.00 
/look/,80,72,0:05:18,71,87.32%,87.50%,$0.00 
/a-model-contract-for-literary-translations/,78,71,0:03:24,58,81.03%,67.95%,$0.00 
/research-resources/,78,69,0:01:17,8,37.50%,19.23%,$0.00 
/consultancies/,77,73,0:01:29,1,0.00%,37.66%,$0.00 
/emergency-funds-for-writers/,76,49,0:05:19,44,75.00%,61.84%,$0.00 
/dare-trump-stance-missing-saudi-journalist-concern/,75,68,0:02:06,50,90.00%,76.00%,$0.00 
/news-analysis/,75,62,0:00:57,7,42.86%,18.67%,$0.00 
/litfest-gala/2018-los-angeles-literary-award-winners-finalists-judges/,74,68,0:03:25,36,80.56%,58.11%,$0.00 
/pen-america-los-angeles/,74,65,0:00:47,48,39.58%,32.43%,$0.00 
/precious-time/,74,68,0:05:50,68,91.18%,90.54%,$0.00 
/tyranny-of-parents-banning-shel-silverstein/,74,66,0:11:29,66,86.36%,87.84%,$0.00 
/dare-fact-checking-trump-usa-today-op-ed/,72,63,0:03:51,49,87.76%,73.61%,$0.00 
/event/stories-untold-reporting-on-family-separation-and-immigration-policy/,72,63,0:03:05,51,88.24%,72.22%,$0.00 
